Program Name, Asserts Before, Asserts After, Asserts Removed, Removal Percentage
RingBufferAuto.dfy, FAILED
Problem4-Queens.dfy, 2, 2, 0, 0%
Problem5-DoubleEndedQueue.dfy, 0, 0, 0, NaN%
Queue.dfy, 10, 0, 10, 100%
RangeCompilation.dfy, 1, 1, 0, 0%
RankPos.dfy, 0, 0, 0, NaN%
redundancy-detection-is-bidirectional.dfy, 7, 0, 7, 100%
Regression1.dfy, 0, 0, 0, NaN%
Renaming.dfy, 4, 1, 3, 75%
Requires.dfy, 6, 0, 6, 100%
RingBuffer.dfy, 4, 0, 4, 100%
Rippling.dfy, 9, 9, 0, 0%
SegmentSum.dfy, 0, 0, 0, NaN%
SeparationLogicList.dfy, 1, 0, 1, 100%
SeqFromArray.dfy, 0, 0, 0, NaN%
SeqSlice.dfy, 18, 0, 18, 100%
set-construction-is-a-good-trigger.dfy, 0, 0, 0, NaN%
SimpleCoinduction.dfy, 0, 0, 0, NaN%
SimpleInduction.dfy, 0, 0, 0, NaN%
Snapshots0.run.dfy, 0, 0, 0, NaN%
Snapshots0.v0.dfy, 1, 0, 1, 100%
Snapshots1.run.dfy, 0, 0, 0, NaN%
Snapshots1.v0.dfy, 1, 0, 1, 100%
Snapshots2.run.dfy, 0, 0, 0, NaN%
Snapshots2.v0.dfy, 1, 0, 1, 100%
Snapshots3.run.dfy, 0, 0, 0, NaN%
Snapshots4.run.dfy, 0, 0, 0, NaN%
Snapshots4.v0.dfy, 1, 0, 1, 100%
Snapshots5.run.dfy, 0, 0, 0, NaN%
Snapshots5.v0.dfy, 3, 0, 3, 100%
Snapshots6.run.dfy, 0, 0, 0, NaN%
Snapshots7.run.dfy, 0, 0, 0, NaN%
Snapshots8.run.dfy, 0, 0, 0, NaN%
some-terms-do-not-look-like-the-triggers-they-match.dfy, 0, 0, 0, NaN%
SparseArray.dfy, 1, 1, 0, 0%
Streams.dfy, 3, 0, 3, 100%
SumOfCubes.dfy, 0, 0, 0, NaN%
suppressing-warnings-behaves-properly.dfy, 9, 0, 9, 100%
TerminationDemos.dfy, 0, 0, 0, NaN%
