Program Name, Lemma Calls Before, Lemma Calls After, Lemma Calls Removed, Removal Percentage
Problem1.dfy, FAILED
Combinators.dfy, 6, 5, 1, 16.66667%
Compilation.dfy, 0, 0, 0, NaN%
Composite.dfy, 0, 0, 0, NaN%
Computations.dfy, 0, 0, 0, NaN%
Consequence.dfy, 0, 0, 0, NaN%
constructors-cause-matching-loops.dfy, 0, 0, 0, NaN%
ContainerRanks.dfy, 0, 0, 0, NaN%
CoqArt-InsertionSort.dfy, 3, 3, 0, 0%
COST-verif-comp-2011-1-MaxArray.dfy, 0, 0, 0, NaN%
COST-verif-comp-2011-2-MaxTree-class.dfy, 1, 1, 0, 0%
COST-verif-comp-2011-2-MaxTree-datatype.dfy, 0, 0, 0, NaN%
COST-verif-comp-2011-3-TwoDuplicates.dfy, 0, 0, 0, NaN%
COST-verif-comp-2011-4-FloydCycleDetect.dfy, 16, 16, 0, 0%
Cubes.dfy, 0, 0, 0, NaN%
Dijkstra.dfy, 8, 8, 0, 0%
DirtyLoops.dfy, 0, 0, 0, NaN%
ExtensibleArray.dfy, 0, 0, 0, NaN%
ExtensibleArrayAuto.dfy, 0, 0, 0, NaN%
FindZero.dfy, 2, 2, 0, 0%
ForallCompilation.dfy, 0, 0, 0, NaN%
fun-with-slices.dfy, 0, 0, 0, NaN%
function-applications-are-triggers.dfy, 0, 0, 0, NaN%
IMaps2.dfy, 0, 0, 0, NaN%
Induction.dfy, 7, 1, 6, 85.71429%
InductionVsCoinduction.dfy, 4, 4, 0, 0%
InfiniteTrees.dfy, 40, 31, 9, 22.5%
InSetComprehension.dfy, 0, 0, 0, NaN%
Intervals.dfy, 0, 0, 0, NaN%
ISets.dfy, 0, 0, 0, NaN%
Juggernaut.dfy, 0, 0, 0, NaN%
JustWarnings.dfy, 0, 0, 0, NaN%
KatzManna.dfy, 0, 0, 0, NaN%
KozenSilva.dfy, 9, 6, 3, 33.33333%
large-quantifiers-dont-break-dafny.dfy, 0, 0, 0, NaN%
LargeConstants.dfy, 0, 0, 0, NaN%
LazyInitArray.dfy, 0, 0, 0, NaN%
Leq.dfy, 12, 11, 1, 8.333333%
ListContents.dfy, 0, 0, 0, NaN%
ListCopy.dfy, 0, 0, 0, NaN%
ListReverse.dfy, 0, 0, 0, NaN%
LitTriggers.dfy, 0, 0, 0, NaN%
loop-detection-is-not-too-strict.dfy, 0, 0, 0, NaN%
loop-detection-looks-at-ranges-too.dfy, 0, 0, 0, NaN%
loop-detection-messages--unit-tests.dfy, 0, 0, 0, NaN%
looping-is-hard-to-decide-modulo-equality.dfy, 0, 0, 0, NaN%
MajorityVote.dfy, 12, 12, 0, 0%
MatchBraces.dfy, 0, 0, 0, NaN%
MatrixFun.dfy, 0, 0, 0, NaN%
maximum.dfy, 0, 0, 0, NaN%
McCarthy91.dfy, 0, 0, 0, NaN%
MonadicLaws.dfy, 4, 4, 0, 0%
nested-quantifiers-all-get-triggers.dfy, 0, 0, 0, NaN%
NipkowKlein-chapter3.dfy, 11, 9, 2, 18.18182%
NoTypeArgs.dfy, 1, 1, 0, 0%
old-is-a-special-case-for-triggers.dfy, 0, 0, 0, NaN%
OpaqueTrees.dfy, 2, 2, 0, 0%
opened_workaround.dfy, 0, 0, 0, NaN%
optimize0.dfy, 0, 0, 0, NaN%
Paulson.dfy, 10, 9, 1, 10%
pow2.dfy, 4, 2, 2, 50%
PriorityQueue.dfy, 0, 0, 0, NaN%
Problem1-SumMax.dfy, 0, 0, 0, NaN%
Problem2.dfy, 15, 14, 1, 6.666667%
Problem3-FindZero.dfy, 0, 0, 0, NaN%
Problem4-Queens.dfy, 0, 0, 0, NaN%
Problem5-DoubleEndedQueue.dfy, 0, 0, 0, NaN%
Queue.dfy, 0, 0, 0, NaN%
RangeCompilation.dfy, 0, 0, 0, NaN%
RankPos.dfy, 0, 0, 0, NaN%
redundancy-detection-is-bidirectional.dfy, 0, 0, 0, NaN%
Regression1.dfy, 0, 0, 0, NaN%
Renaming.dfy, 0, 0, 0, NaN%
Requires.dfy, 1, 1, 0, 0%
RingBuffer.dfy, 0, 0, 0, NaN%
RingBufferAuto.dfy, 0, 0, 0, NaN%
Rippling.dfy, 2, 2, 0, 0%
SegmentSum.dfy, 0, 0, 0, NaN%
SeparationLogicList.dfy, 0, 0, 0, NaN%
SeqFromArray.dfy, 0, 0, 0, NaN%
SeqSlice.dfy, 0, 0, 0, NaN%
set-construction-is-a-good-trigger.dfy, 0, 0, 0, NaN%
SimpleCoinduction.dfy, 2, 2, 0, 0%
SimpleInduction.dfy, 5, 1, 4, 80%
Snapshots0.run.dfy, 0, 0, 0, NaN%
Snapshots0.v0.dfy, 0, 0, 0, NaN%
Snapshots1.run.dfy, 0, 0, 0, NaN%
