Program Name, Decreases Before, Decreases After, Decreases Removed, Removal Percentage
Problem1.dfy, FAILED
looping-is-hard-to-decide-modulo-equality.dfy, 0, 0, 0, NaN%
MajorityVote.dfy, 0, 0, 0, NaN%
MatchBraces.dfy, 0, 0, 0, NaN%
MatrixFun.dfy, 2, 2, 0, 0%
maximum.dfy, 0, 0, 0, NaN%
McCarthy91.dfy, 4, 4, 0, 0%
MonadicLaws.dfy, 0, 0, 0, NaN%
nested-quantifiers-all-get-triggers.dfy, 0, 0, 0, NaN%
NipkowKlein-chapter3.dfy, 0, 0, 0, NaN%
NoTypeArgs.dfy, 0, 0, 0, NaN%
old-is-a-special-case-for-triggers.dfy, 0, 0, 0, NaN%
OpaqueTrees.dfy, 0, 0, 0, NaN%
opened_workaround.dfy, 0, 0, 0, NaN%
optimize0.dfy, 0, 0, 0, NaN%
Paulson.dfy, 0, 0, 0, NaN%
pow2.dfy, 0, 0, 0, NaN%
PriorityQueue.dfy, 0, 0, 0, NaN%
Problem1-SumMax.dfy, 0, 0, 0, NaN%
Problem2.dfy, 11, 10, 1, 9.090909%
Problem3-FindZero.dfy, 1, 1, 0, 0%
Problem4-Queens.dfy, 1, 1, 0, 0%
Problem5-DoubleEndedQueue.dfy, 2, 2, 0, 0%
Queue.dfy, 0, 0, 0, NaN%
RangeCompilation.dfy, 0, 0, 0, NaN%
RankPos.dfy, 1, 0, 1, 100%
redundancy-detection-is-bidirectional.dfy, 0, 0, 0, NaN%
Regression1.dfy, 0, 0, 0, NaN%
Renaming.dfy, 0, 0, 0, NaN%
Requires.dfy, 0, 0, 0, NaN%
RingBuffer.dfy, 0, 0, 0, NaN%
RingBufferAuto.dfy, 0, 0, 0, NaN%
Rippling.dfy, 0, 0, 0, NaN%
SegmentSum.dfy, 0, 0, 0, NaN%
SeparationLogicList.dfy, 0, 0, 0, NaN%
SeqFromArray.dfy, 0, 0, 0, NaN%
SeqSlice.dfy, 0, 0, 0, NaN%
set-construction-is-a-good-trigger.dfy, 0, 0, 0, NaN%
