Program Name, Calc Parts Before, Calc Parts After, Calc Parts Removed, Removal Percentage
Problem1.dfy, FAILED
Regression1.dfy, 0, 0, 0, NaN%
Renaming.dfy, 0, 0, 0, NaN%
Requires.dfy, 0, 0, 0, NaN%
RingBuffer.dfy, 0, 0, 0, NaN%
RingBufferAuto.dfy, 0, 0, 0, NaN%
Rippling.dfy, 0, 0, 0, NaN%
SegmentSum.dfy, 0, 0, 0, NaN%
SeparationLogicList.dfy, 0, 0, 0, NaN%
SeqFromArray.dfy, 0, 0, 0, NaN%
SeqSlice.dfy, 0, 0, 0, NaN%
set-construction-is-a-good-trigger.dfy, 0, 0, 0, NaN%
SimpleCoinduction.dfy, 0, 0, 0, NaN%
SimpleInduction.dfy, 0, 0, 0, NaN%
Snapshots0.run.dfy, 0, 0, 0, NaN%
Snapshots0.v0.dfy, 0, 0, 0, NaN%
Snapshots1.run.dfy, 0, 0, 0, NaN%
Snapshots1.v0.dfy, 0, 0, 0, NaN%
Snapshots2.run.dfy, 0, 0, 0, NaN%
Snapshots2.v0.dfy, 0, 0, 0, NaN%
Snapshots3.run.dfy, 0, 0, 0, NaN%
Snapshots4.run.dfy, 0, 0, 0, NaN%
Snapshots4.v0.dfy, 0, 0, 0, NaN%
Snapshots5.run.dfy, 0, 0, 0, NaN%
Snapshots5.v0.dfy, 0, 0, 0, NaN%
Snapshots6.run.dfy, 0, 0, 0, NaN%
Snapshots7.run.dfy, 0, 0, 0, NaN%
Snapshots8.run.dfy, 0, 0, 0, NaN%
some-terms-do-not-look-like-the-triggers-they-match.dfy, 0, 0, 0, NaN%
SparseArray.dfy, 0, 0, 0, NaN%
Streams.dfy, 15, 15, 0, 0%
SumOfCubes.dfy, 0, 0, 0, NaN%
suppressing-warnings-behaves-properly.dfy, 0, 0, 0, NaN%
TerminationDemos.dfy, 0, 0, 0, NaN%
TraitExample.dfy, 0, 0, 0, NaN%
TraitOverride1.dfy, 0, 0, 0, NaN%
Traits-Fields.dfy, 0, 0, 0, NaN%
TraitsMultipleInheritance.dfy, 0, 0, 0, NaN%
Tree.dfy, 0, 0, 0, NaN%
TreeBarrier.dfy, 0, 0, 0, NaN%
TreeDatatype.dfy, 0, 0, 0, NaN%
TreeFill.dfy, 0, 0, 0, NaN%
TriggerInPredicate.dfy, 0, 0, 0, NaN%
triggers-prevent-some-inlining.dfy, 0, 0, 0, NaN%
TuringFactorial.dfy, 0, 0, 0, NaN%
Two-Way-Sort.dfy, 0, 0, 0, NaN%
Types.dfy, 0, 0, 0, NaN%
UnboundedStack.dfy, 0, 0, 0, NaN%
useless-casts-in-decreases-clauses.dfy, 0, 0, 0, NaN%
useless-triggers-are-removed.dfy, 0, 0, 0, NaN%
we-should-always-print-tooltips.dfy, 0, 0, 0, NaN%
wf-checks-use-the-original-quantifier.dfy, 0, 0, 0, NaN%
WhileLoop.dfy, 0, 0, 0, NaN%
WideTrees.dfy, 0, 0, 0, NaN%
Zip.dfy, 0, 0, 0, NaN%
Total, 405, 300, 105, 25.92593%
